ID,point num,type,vnum,value,x,y,z,,id,avg value,avg x,avg y,avg z
d01_10,1,10,404,17.6191,80.1,67.8,131.1,,d01_10,13.1904,84.3,68.5,129.4
d01_10,2,10,317,13.3656,82.7,64.9,131.3,,d01_20,19.5445,87.6,69.1,132.4
d01_10,3,10,346,12.7186,79.8,66.6,128.1,,d01_30,18.1845,86.5,66.9,125.3
d01_10,4,10,486,12.1855,78.3,73.0,126.8,,d02_10,24.1682,90.6,76.3,118.5
d01_10,5,10,402,13.9730,82.0,66.2,133.3,,d02_20,18.6958,89.9,78.2,115.8
d01_10,6,10,291,10.6209,87.8,63.3,129.4,,d02_30,17.9798,92.5,74.3,121.6
d01_10,7,10,289,10.5650,86.6,65.9,135.5,,d29_10,20.6449,84.7,70.5,125.0
d01_10,8,10,86,13.3641,96.3,53.9,120.0,,d29_20,17.4886,84.1,65.6,126.1
d01_10,9,10,320,15.8632,90.9,65.4,124.9,,d29_30,20.7114,91.4,61.6,122.0
d01_10,10,10,742,15.5397,72.1,83.0,143.5,,d30_10,21.3600,86.9,64.0,143.0
d01_10,11,10,684,13.9230,76.1,74.9,140.6,,d30_20,24.2516,90.2,67.8,130.5
d01_10,12,10,643,17.1608,83.2,75.6,114.8,,d30_30,25.1435,88.1,65.8,136.3
d01_10,13,10,717,10.4484,87.7,79.2,126.4,,d31_10,21.2873,90.7,72.2,124.4
d01_10,14,10,205,10.0571,89.5,59.0,128.1,,d31_20,21.2715,97.3,62.2,125.8
d01_10,15,10,435,10.4526,92.0,68.4,127.2,,d31_30,26.0262,90.9,74.9,137.1
d01_20,1,20,405,21.5893,88.7,68.8,131.2,,d32_10,16.5014,95.9,72.7,138.1
d01_20,2,20,317,25.4500,82.7,64.9,131.3,,d32_20,13.0918,87.5,81.7,131.5
d01_20,3,20,404,21.6653,80.1,67.8,131.1,,d32_30,11.8654,87.8,77.0,134.9
d01_20,4,20,367,18.2985,93.0,68.4,131.6,,d33_10,17.4861,81.4,71.5,114.8
d01_20,5,20,548,15.5539,90.1,75.3,127.3,,d33_20,14.5597,82.5,68.9,112.3
d01_20,6,20,435,17.6539,92.0,68.4,127.2,,d33_30,15.2991,84.4,70.7,118.7
d01_20,7,20,320,17.1854,90.9,65.4,124.9,,d34_10,21.4631,75.7,78.4,127.7
d01_20,8,20,484,26.3375,84.5,71.7,138.9,,d34_20,16.2480,82.4,69.4,112.4
d01_20,9,20,629,22.1879,93.3,76.1,138.6,,d34_30,15.0964,85.8,69.0,115.1
d01_20,10,20,514,20.1091,91.8,72.5,131.7,,d35_10,23.4089,81.1,65.8,131.3
d01_20,11,20,205,14.6458,89.5,59.0,128.1,,d35_20,21.0744,82.0,74.1,136.4
d01_20,12,20,397,17.4755,85.3,68.3,141.1,,d35_30,26.3407,86.8,67.1,133.5
d01_20,13,20,541,20.7881,82.4,71.4,139.6,,d36_10,18.0495,104.1,63.2,140.8
d01_20,14,20,516,19.5160,87.7,73.0,130.7,,d36_20,14.0868,101.1,64.2,139.6
d01_20,15,20,402,14.7113,82.0,66.2,133.3,,d36_30,15.5816,91.5,78.2,128.2
d01_30,1,30,486,25.4161,78.3,73.0,126.8,,d37_10,9.7339,77.3,76.1,135.9
d01_30,2,30,436,28.3152,85.6,70.8,123.4,,d37_20,18.3470,74.1,79.0,126.0
d01_30,3,30,346,19.9783,79.8,66.6,128.1,,d37_30,16.7006,80.5,77.0,142.8
